"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
16,"2","спасибо","2025-05-08T12:32:06.806278Z",2945792,49.60399999999999,5,"Вопрос решен","2025-05-08T12:44:22.535929Z","","","","",""
17,"2","спасибо!","2025-05-08T12:44:25.556719Z",3234340,2.058,5,"Вопрос решен","2025-05-08T12:44:25.556719Z","","","","",""
18,"2","Отлично ","2025-05-08T12:44:46.429049Z",3380332,19.677,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:44:46.429049Z","","","","",""
19,"2","Благодарю за оперативное решение проблемы ! ","2025-05-08T12:45:09.100228Z",3381812,21.395,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:45:09.100228Z","","","","",""
20,"2","Прекрасный специалист! Побольше таких","2025-05-08T12:45:23.515860Z",3461991,13.272,5,"Нравится качество работы сотрудников","2025-05-08T12:45:23.515860Z","","","","",""
21,"2","Спасибо ","2025-05-08T12:45:27.145914Z",3551430,2.614,5,"Вопрос решен","2025-05-08T12:45:27.145914Z","","","","",""
22,"2","пересчет, и скорость 
","2025-05-08T12:45:45.852182Z",3572768,52.652,1,"ни к одному из перечисленных","2025-05-08T17:38:36.616640Z","","","","",""
23,"2","Спасибо за обновление покраски стен","2025-05-08T12:46:20.388583Z",3584536,23.622,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-08T12:46:20.388583Z","","","","",""
24,"2","выполнили быстро","2025-05-08T12:46:48.890441Z",3596020,27.413,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-08T12:46:48.890441Z","","","","",""
25,"2","Спасибо! ","2025-05-08T12:46:52.648930Z",3617808,2.575,5,"Вопрос решен","2025-05-08T12:46:52.648930Z","","","","",""
26,"2","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-08T12:47:15.493083Z",3627490,21.981,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}","2025-05-08T12:47:15.493083Z","","","","",""
27,"2","спасибо 
","2025-05-08T12:47:18.428725Z",3657819,2.0,5,"Вопрос решен","2025-05-08T12:47:18.428725Z","","","","",""
28,"2","Спасибо ","2025-05-08T12:47:21.147479Z",3691620,1.851,5,"Вопрос решен","2025-05-08T12:47:21.147479Z","","","","",""
29,"2","Решили мой вопрос. Спасибо! ","2025-05-08T12:47:37.734606Z",3695420,12.964,5,"Вопрос решен","2025-05-08T12:47:37.734606Z","","","","",""
